"126","Kareem Hunt","RB","KC","17","4.6","4.4","11.4","5.7","18.7","4.4","1.8","17.2","12.5","BYE","13.2","20","9","9","3","0.2","3.8","6.5","8.6","145.4"
"127","Tyler Loop","K","BAL","17","13","12","7","9","4","3","BYE","13","4","14","12","11","2","10","6","6","11","7","8.5","144"
"127","Jacksonville Jaguars","DST","JAC","17","11","8","12","15","7","2","-4","BYE","3","11","12","7","14","10","10","6","7","13","8.5","144"
"129","Justin Fields","QB","NYJ","9","29.5","4","-","27.1","25.9","4.9","4","20.9","BYE","8","19.3","-","-","-","-","-","-","-","16","143.7"
"130","Rachaad White","RB","TB","17","2.6","14.6","2.4","8.6","23.1","17.6","8.4","8.1","BYE","10.4","8.2","5.2","5.9","6.5","3.6","8","3.7","6.1","8.4","143"
"130","Denver Broncos","DST","DEN","17","14","0","9","10","7","13","5","6","5","14","8","BYE","4","11","7","4","5","21","8.4","143"
"132","Jacory Croskey-Merritt","RB","WAS","17","14.2","1.7","10.1","7.7","27","5.8","4.2","2.5","5.1","3","4.3","BYE","2","3.2","15.6","8.5","22.5","2.9","8.3","140.3"
"133","Eddy Pineiro","K","SF","14","-","10","12","7","17","18","11","1","12","2","14","-","-","BYE","14","12","6","4","10","140"
"134","Joe Burrow","QB","CIN","8","8.8","7","-","-","-","-","-","-","-","BYE","-","-","19.2","25.4","7.5","29","20.4","22.1","17.4","139.5"
"135","Brian Thomas Jr.","WR","JAC","14","9","8.9","7.5","10.6","12","23","6.1","BYE","8.5","-","-","-","4.8","11.7","17.1","3.8","7.9","7.9","9.9","138.8"
"136","Bucky Irving","RB","TB","10","14.5","18.1","13.9","25.5","-","-","-","-","BYE","-","-","-","16.1","16.1","8.1","7.1","8.3","10.8","13.9","138.5"
"137","Marquise Brown","WR","KC","16","19.9","8","8.2","12.8","8.8","20.5","9.4","0","9.3","BYE","8","2","10","4.5","-","5.2","1.7","9.4","8.6","137.7"
"138","J.J. McCarthy","QB","MIN","10","23.2","4.8","-","-","-","BYE","-","-","19.9","16.7","8","2.5","-","20.4","24.5","9.3","-","8","13.7","137.4"
"139","Josh Downs","WR","IND","16","3.2","11.1","5.4","6.4","11.4","16.2","-","12.9","15.7","1.3","BYE","3","6.4","6.3","10.3","11.8","5.4","9.6","8.5","136.4"
"140","Mac Jones","QB","SF","11","-","21.8","14.3","-","22.2","13.2","6.2","19","15.8","24.1","-0.3","-","0.2","BYE","-","-0.3","-","-","12.4","136"
"140","Minnesota Vikings","DST","MIN","17","5","5","30","4","3","BYE","3","0","9","1","3","1","9","18","2","11","21","11","8","136"
"140","Los Angeles Rams","DST","LAR","17","11","8","6","7","1","17","11","BYE","9","6","9","18","2","6","0","6","8","11","8","136"
"140","Evan McPherson","K","CIN","17","5","7","5","3","8","5","17","8","11","BYE","8","12","24","4","0","10","9","0","8","136"
"144","Omarion Hampton","RB","LAC","9","8.1","3.5","24.9","27.5","13","-","-","-","-","-","-","BYE","-","14.7","7.5","16.5","20","-","15.1","135.7"
"145","Jordan Addison","WR","MIN","14","-","-","-","15.4","15.1","BYE","21.8","11.6","8.4","6.5","10","0","8.6","10.2","8.6","4.6","12.5","1.8","9.7","135.1"
"146","Joey Slye","K","TEN","16","15","17","11","0","13","-","10","2","9","BYE","10","6","3","8","6","6","18","1","8.4","135"
"146","Philadelphia Eagles","DST","PHI","17","3","5","13","14","2","1","12","6","BYE","11","8","5","4","13","16","5","13","4","7.9","135"
"148","Wil Lutz","K","DEN","17","8","4","9","4","9","9","5","9","4","4","18","BYE","9","6","4","10","8","14","7.9","134"
"149","Cleveland Browns","DST","CLE","17","4","-1","13","1","7","0","25","9","BYE","5","17","16","1","2","2","2","9","21","7.8","133"
"150","Marcus Mariota","QB","WAS","12","0","-","20.3","17.2","-","-","4.9","13.3","0","18.7","16.4","BYE","24.3","-1.1","14.7","3.7","-","-","11","132.5"
"151","Christian Watson","WR","GB","10","-","-","-","-","BYE","-","-","12.5","7.8","6.5","20.6","9.9","18.3","24.9","5.9","3.7","22.3","-","13.2","132.4"
"152","Cairo Santos","K","CHI","15","7","3","7","19","BYE","-","-","11","11","6","16","8","6","8","8","14","8","0","8.8","132"
"152","Riley Patterson","K","MIA","17","0","11","3","10","7","10","6","10","8","7","11","BYE","14","13","5","3","8","6","7.8","132"
"154","Oronde Gadsden II","TE","LAC","15","-","-","9.6","3.6","2.4","11.8","29.4","18.7","11.8","4.3","6.1","BYE","3.7","1.7","10.1","1.7","12.2","4.3","8.8","131.4"
"155","Mark Andrews","TE","BAL","17","1.5","1.4","27.1","10","4.2","6.6","BYE","6.4","16.6","10.4","15.7","2.1","8.7","1.9","3.8","4.4","6.8","3.4","7.7","131"
